"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    
          0,           0,           0,      -5.173100814,      -3.108456396,      -3.240948316,      -3.381499899,     -0.6668673694,      -2.323179259,    -0.01529084194,   9.558764718e-11,   0.0001064421005,                 1,                 1,                 1
          0,           0,           1,      -5.173302719,      -3.107313726,      -3.240384466,      -3.381488443,     -0.6684300425,      -2.323341485,    -0.02484901021,    7.96559382e-11,   8.870174002e-05,                 1,                 1,                 1
          0,           0,           2,      -5.173452118,      -3.107049237,      -3.239588326,      -3.381177725,     -0.6700094029,      -2.323158003,    -0.03503075613,   7.965557619e-11,   8.870173124e-05,                 1,                 1,                 1
          0,           0,           3,      -5.173562718,      -3.106929802,      -3.238857302,      -3.381010054,     -0.6683598715,      -2.322977978,    -0.03543668268,   7.965521423e-11,   8.870172245e-05,                 1,                 1,                 1
          0,           0,           4,       -5.17370023,      -3.106885352,      -3.238225572,      -3.380955498,     -0.6692968053,      -2.322801643,    -0.03568407851,   7.965485231e-11,   8.870171366e-05,                 1,                 1,                 1
          0,           0,           5,       -5.17382335,      -3.106796545,      -3.237639161,      -3.380751147,     -0.6691288177,      -2.322629337,    -0.03579333924,   7.965449044e-11,   8.870170487e-05,                 1,                 1,                 1
          0,           0,           6,      -5.173905748,      -3.106617095,      -3.236953126,      -3.380242024,     -0.6655146213,      -2.322461438,    -0.03584347492,   7.965412861e-11,   8.870169608e-05,                 1,                 1,                 1
          0,           0,           7,      -5.173972005,      -3.106359262,      -3.236290007,      -3.379909017,     -0.6606201816,      -2.322298311,    -0.03588508665,   7.965376683e-11,   8.870168729e-05,                 1,                 1,                 1
          0,           0,           8,      -5.174029327,      -3.105870838,      -3.235546854,       -3.37930689,     -0.6550956805,      -2.322140318,    -0.03595346029,    7.96534051e-11,    8.87016785e-05,                 1,                 1,                 1
          0,           0,           9,       -5.17402586,      -3.104948887,      -3.234477098,      -3.377794774,     -0.6440876576,      -2.321989138,    -0.03600704258,   7.965304341e-11,   8.870166971e-05,                 1,                 1,                 1
          0,           0,          10,      -5.174030397,      -3.104734137,      -3.233749016,      -3.377254949,     -0.6339845893,      -2.321847705,    -0.03612089424,   7.965268178e-11,   8.870166092e-05,                 1,                 1,                 1
          0,           0,          11,      -5.174161543,      -3.104582766,      -3.233009477,      -3.377190452,     -0.6338456483,      -2.321716973,     -0.0362919404,   7.965232021e-11,   8.870165212e-05,                 1,                 1,                 1
          0,           0,          12,      -5.174318488,      -3.104261189,      -3.231895745,      -3.376046119,     -0.6354751936,      -2.321596544,    -0.03644014472,   7.965195868e-11,   8.870164332e-05,                 1,                 1,                 1
          0,           0,          13,      -5.174459896,      -3.104211409,      -3.230899433,      -3.374968389,     -0.6358925608,      -2.321486302,     -0.0366053606,   7.965159721e-11,   8.870163451e-05,                 1,                 1,                 1
          0,           0,          14,      -5.174609238,      -3.104334112,      -3.229949052,      -3.373839618,     -0.6364874085,      -2.321386453,    -0.03680953819,    7.96512358e-11,   8.870162569e-05,                 1,                 1,                 1
          0,           0,          15,      -5.174706338,      -3.104749558,      -3.229264826,      -3.373246481,     -0.6323610486,      -2.321297267,    -0.03705605947,   7.965087445e-11,   8.870161686e-05,                 1,                 1,                 1
          0,           0,          16,       -5.17478795,      -3.105102791,      -3.228617923,      -3.372605592,     -0.6263065135,      -2.321219023,    -0.03718936389,   7.965051316e-11,   8.870160802e-05,                 1,                 1,                 1
          0,           0,          17,       -5.17488643,      -3.105309168,      -3.227933584,      -3.371867355,     -0.6208169105,      -2.321152089,    -0.03727488235,   7.965015192e-11,   8.870159917e-05,                 1,                 1,                 1
          0,           0,          18,      -5.175012299,      -3.105070452,      -3.227181202,      -3.370963775,     -0.6165906278,      -2.321096862,    -0.03739004305,   7.964979075e-11,   8.870159031e-05,                 1,                 1,                 1
          0,           0,          19,      -5.175139794,      -3.104728874,      -3.226481261,       -3.37014777,     -0.6120049577,      -2.321053772,     -0.0375119921,   7.964942965e-11,   8.870158143e-05,                 1,                 1,                 1
          0,           0,          20,      -5.175270975,       -3.10454714,      -3.225759151,      -3.369090664,     -0.6073591984,      -2.321023653,    -0.03770450341,   7.964906861e-11,   8.870157254e-05,                 1,                 1,                 1
          0,           0,          21,      -5.175415942,      -3.104234058,      -3.224990703,      -3.368071969,      -0.603488179,      -2.321006329,    -0.03792189471,   7.964870763e-11,   8.870156364e-05,                 1,                 1,                 1
          0,           0,          22,      -5.175563847,      -3.103174873,      -3.223881045,      -3.366193124,     -0.5999522525,      -2.321002245,    -0.03810398354,   7.964834672e-11,   8.870155473e-05,                 1,                 1,                 1
          0,           0,          23,      -5.175713039,       -3.10218464,      -3.223137806,      -3.365456198,     -0.5965942101,      -2.321012081,    -0.03824242919,   7.964798589e-11,    8.87015458e-05,                 1,                 1,                 1
          0,           0,          24,      -5.175906086,      -3.101382854,      -3.222558272,      -3.365422488,     -0.5961428809,      -2.321036352,    -0.03835380808,   7.964762512e-11,   8.870153687e-05,                 1,                 1,                 1
          0,           0,          25,      -5.176100404,      -3.100335661,       -3.22169103,      -3.364768167,     -0.5966913684,      -2.321075342,    -0.03845241184,   7.964726442e-11,   8.870152793e-05,                 1,                 1,                 1
          0,           0,          26,       -5.17625811,      -3.099612817,      -3.221003881,      -3.364608685,     -0.5955213833,      -2.321128866,    -0.03859059653,    7.96469038e-11,   8.870151898e-05,                 1,                 1,                 1
          0,           0,          27,      -5.176383556,      -3.098985009,      -3.220358838,      -3.364535231,     -0.5926960361,       -2.32119659,    -0.03876550267,   7.964654325e-11,   8.870151003e-05,                 1,                 1,                 1
          0,           0,          28,      -5.176522669,      -3.094201383,      -3.220695776,      -3.365468525,     -0.5907312733,      -2.321281964,    -0.03887242336,   7.964618278e-11,   8.870150108e-05,                 1,                 1,                 1
          0,           0,          29,      -5.176551802,      -3.089297381,      -3.221086986,      -3.366419572,     -0.5859165901,      -2.321395913,    -0.03894448833,   7.964582238e-11,   8.870149212e-05,                 1,                 1,                 1
