"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    
          0,           0,           0,      -5.628504801,      -3.211195254,      -3.603415306,      -3.578741085,     -0.8589089676,       -2.90192772,      0.1440548588,   1.436138055e-10,   0.0001064589598,                 1,                 1,                 1
          0,           0,           1,       -5.62855143,      -3.210874454,      -3.602410616,      -3.576760397,     -0.8596005823,      -2.901869901,      0.1399515041,   1.196837487e-10,   8.871583943e-05,                 1,                 1,                 1
          0,           0,           2,      -5.628537699,      -3.210020419,      -3.597369826,      -3.573477399,     -0.8598184385,      -2.901721161,      0.2041363241,   1.196883952e-10,   8.871587268e-05,                 1,                 1,                 1
          0,           0,           3,       -5.62844905,      -3.210383391,      -3.598213304,       -3.57401988,     -0.8582196319,      -2.901572642,      0.1882910823,   1.196930399e-10,   8.871590591e-05,                 1,                 1,                 1
          0,           0,           4,      -5.628323415,      -3.211676936,      -3.602844167,      -3.577627838,     -0.8557747562,      -2.901424192,      0.1783353621,   1.196976826e-10,    8.87159391e-05,                 1,                 1,                 1
          0,           0,           5,      -5.628276404,      -3.212608725,      -3.604931665,      -3.580342867,     -0.8554272109,      -2.901275874,      0.1721661088,   1.197023232e-10,   8.871597226e-05,                 1,                 1,                 1
          0,           0,           6,      -5.628312813,      -3.212349798,      -3.604058556,      -3.578724577,     -0.8572418048,       -2.90112768,      0.1683973746,   1.197069616e-10,   8.871600538e-05,                 1,                 1,                 1
          0,           0,           7,      -5.628401829,      -3.212576888,      -3.604513084,      -3.579152958,     -0.8604562845,      -2.900979694,      0.1661009258,   1.197115976e-10,   8.871603847e-05,                 1,                 1,                 1
          0,           0,           8,      -5.628457754,       -3.21285099,      -3.605137475,      -3.579715104,     -0.8628471985,      -2.900831822,      0.1647518503,   1.197162312e-10,   8.871607152e-05,                 1,                 1,                 1
          0,           0,           9,      -5.628482809,      -3.213145452,      -3.605794239,      -3.580294701,     -0.8644843404,      -2.900684278,      0.1640412922,   1.197208622e-10,   8.871610454e-05,                 1,                 1,                 1
          0,           0,          10,      -5.628487176,      -3.213453772,      -3.606393267,      -3.580803794,      -0.865586439,      -2.900536965,      0.1637220838,   1.197254905e-10,   8.871613752e-05,                 1,                 1,                 1
          0,           0,          11,      -5.628472756,      -3.213944913,      -3.607313639,      -3.581835077,     -0.8661877166,      -2.900389872,      0.1704936716,    1.19730116e-10,   8.871617047e-05,                 1,                 1,                 1
          0,           0,          12,      -5.628457673,      -3.213606685,      -3.606051453,      -3.579552675,      -0.866746731,      -2.900242869,      0.1674844831,   1.197347387e-10,   8.871620339e-05,                 1,                 1,                 1
          0,           0,          13,      -5.628452407,       -3.21412034,      -3.606723513,      -3.580491786,     -0.8675847773,      -2.900095995,      0.1658214139,   1.197393585e-10,   8.871623628e-05,                 1,                 1,                 1
          0,           0,          14,       -5.62842394,      -3.214462912,      -3.606943437,      -3.580891919,     -0.8678197864,      -2.899949464,      0.1649814403,   1.197439752e-10,   8.871626916e-05,                 1,                 1,                 1
          0,           0,          15,      -5.628383719,      -3.214639665,      -3.606744466,      -3.580689625,     -0.8677805088,      -2.899803292,      0.1646036969,   1.197485889e-10,   8.871630201e-05,                 1,                 1,                 1
          0,           0,          16,      -5.628318851,      -3.215347274,      -3.608128076,      -3.582652611,     -0.8670545757,      -2.899657439,       0.164457576,   1.197531995e-10,   8.871633485e-05,                 1,                 1,                 1
          0,           0,          17,      -5.628277275,      -3.215394107,      -3.608067758,      -3.582185295,     -0.8669474066,       -2.89951185,      0.1689385243,   1.197578068e-10,   8.871636768e-05,                 1,                 1,                 1
          0,           0,          18,      -5.628272189,      -3.215607141,      -3.608238962,      -3.582560497,     -0.8678392576,      -2.899366425,      0.1713373836,   1.197624109e-10,   8.871640049e-05,                 1,                 1,                 1
          0,           0,          19,      -5.628247874,      -3.215795932,      -3.608452079,      -3.582659975,      -0.868193861,      -2.899221221,      0.1682975765,   1.197670116e-10,    8.87164333e-05,                 1,                 1,                 1
          0,           0,          20,      -5.628204727,      -3.216075282,      -3.609043026,      -3.583194761,     -0.8680683703,      -2.899076175,      0.1666031293,   1.197716091e-10,   8.871646609e-05,                 1,                 1,                 1
          0,           0,          21,      -5.628161422,      -3.216346453,      -3.609492875,      -3.583615697,      -0.867933954,      -2.898931289,      0.1656816772,   1.197762032e-10,   8.871649888e-05,                 1,                 1,                 1
          0,           0,          22,      -5.628152434,      -3.215754694,      -3.605686422,      -3.581308003,     -0.8687484296,      -2.898786443,      0.1651851907,   1.197807938e-10,   8.871653165e-05,                 1,                 1,                 1
          0,           0,          23,      -5.628191562,      -3.216405208,      -3.609305045,      -3.582422798,     -0.8709837126,      -2.898641543,      0.1647909439,    1.19785381e-10,   8.871656441e-05,                 1,                 1,                 1
          0,           0,          24,      -5.628280798,      -3.216821645,      -3.610102218,      -3.583370612,     -0.8746492672,      -2.898496753,      0.1643202151,   1.197899648e-10,   8.871659715e-05,                 1,                 1,                 1
          0,           0,          25,      -5.628341036,       -3.21724413,      -3.610808195,      -3.584204751,     -0.8775694228,      -2.898351982,      0.1640163138,   1.197945451e-10,   8.871662987e-05,                 1,                 1,                 1
          0,           0,          26,       -5.62833614,      -3.217536104,        -3.6110832,      -3.584487547,     -0.8786627058,      -2.898207396,      0.1638274915,   1.197991219e-10,   8.871666257e-05,                 1,                 1,                 1
          0,           0,          27,       -5.62829198,      -3.217998395,      -3.611748607,      -3.585486526,     -0.8786748175,      -2.898062992,      0.1635615883,   1.198036952e-10,   8.871669525e-05,                 1,                 1,                 1
          0,           0,          28,      -5.628248601,      -3.217899687,      -3.611160936,      -3.584271486,     -0.8787297635,      -2.897919005,       0.163353288,   1.198082651e-10,   8.871672789e-05,                 1,                 1,                 1
          0,           0,          29,      -5.628183056,      -3.218493116,       -3.61230028,      -3.585718208,     -0.8781892078,      -2.897775363,      0.1690317524,   1.198128315e-10,   8.871676051e-05,                 1,                 1,                 1
          0,           0,          30,      -5.628102745,      -3.218812172,      -3.612706131,      -3.586173974,     -0.8772436184,      -2.897631937,      0.1686329464,   1.198173945e-10,   8.871679309e-05,                 1,                 1,                 1
          0,           0,          31,      -5.628046491,      -3.219081424,      -3.613070245,      -3.586456146,     -0.8770049697,      -2.897488878,      0.1660972047,   1.198219541e-10,   8.871682563e-05,                 1,                 1,                 1
          0,           0,          32,      -5.628015073,      -3.219396391,       -3.61365934,      -3.586956733,     -0.8774661754,      -2.897346255,      0.1644551848,   1.198265103e-10,   8.871685814e-05,                 1,                 1,                 1
          0,           0,          33,      -5.627999023,      -3.219842415,       -3.61457913,      -3.587977665,     -0.8784017649,      -2.897203932,      0.1634538081,   1.198310632e-10,   8.871689061e-05,                 1,                 1,                 1
          0,           0,          34,      -5.628019352,      -3.219381972,      -3.613257991,      -3.585558157,     -0.8804124853,      -2.897062003,      0.1672904005,   1.198356128e-10,   8.871692305e-05,                 1,                 1,                 1
          0,           0,          35,       -5.62806441,      -3.219748594,      -3.613891099,      -3.586344817,     -0.8831354423,      -2.896920297,      0.1648081494,   1.198401593e-10,   8.871695545e-05,                 1,                 1,                 1
          0,           0,          36,      -5.628063737,       -3.22015718,       -3.61457609,      -3.587109648,     -0.8845417303,      -2.896778726,      0.1633771922,   1.198447026e-10,   8.871698781e-05,                 1,                 1,                 1
          0,           0,          37,      -5.628028458,      -3.220587931,       -3.61521026,       -3.58784696,     -0.8849919573,      -2.896637384,      0.1671948051,   1.198492428e-10,   8.871702013e-05,                 1,                 1,                 1
          0,           0,          38,      -5.627974116,      -3.221205623,      -3.616256332,      -3.589309908,     -0.8848849917,      -2.896496333,      0.1645478688,     1.1985378e-10,   8.871705243e-05,                 1,                 1,                 1
          0,           0,          39,      -5.627941326,      -3.220987291,      -3.615174525,        -3.5875068,     -0.8854027124,      -2.896355421,      0.1630516919,   1.198583144e-10,   8.871708468e-05,                 1,                 1,                 1
          0,           0,          40,       -5.62790405,      -3.220271245,      -3.610295782,      -3.584472066,     -0.8857950285,      -2.896214522,      0.1622227692,   1.198628459e-10,   8.871711691e-05,                 1,                 1,                 1
          0,           0,          41,      -5.627840816,      -3.220936754,       -3.61197911,      -3.586001916,     -0.8854649353,      -2.896073528,      0.1617020585,   1.198673746e-10,   8.871714912e-05,                 1,                 1,                 1
          0,           0,          42,       -5.62775419,      -3.222148514,      -3.616481865,      -3.589355956,     -0.8845031005,      -2.895932491,      0.1725152034,   1.198719007e-10,   8.871718129e-05,                 1,                 1,                 1
          0,           0,          43,      -5.627720723,       -3.22243756,      -3.616952364,      -3.589843998,     -0.8850917506,      -2.895800896,      0.1677220749,   1.198764242e-10,   8.871721344e-05,                 1,                 1,                 1
          0,           0,          44,      -5.627666725,      -3.222905334,      -3.617813627,      -3.590875435,      -0.885074725,       -2.89566883,      0.1644697638,   1.198809451e-10,   8.871724557e-05,                 1,                 1,                 1
          0,           0,          45,      -5.627629343,      -3.222463897,      -3.616492998,      -3.588541195,     -0.8855572342,      -2.895536146,      0.1626503725,   1.198854635e-10,   8.871727766e-05,                 1,                 1,                 1
          0,           0,          46,      -5.627607242,       -3.22284594,      -3.617234193,      -3.589383117,     -0.8865097323,      -2.895402739,       0.161664014,   1.198899796e-10,   8.871730974e-05,                 1,                 1,                 1
          0,           0,          47,      -5.627554664,      -3.223236637,      -3.618042768,      -3.590164757,     -0.8865668761,      -2.895268567,      0.1656596269,   1.198944933e-10,   8.871734179e-05,                 1,                 1,                 1
          0,           0,          48,       -5.62749613,      -3.223656634,      -3.618910547,      -3.590996579,     -0.8864039376,      -2.895133848,      0.1631252695,   1.198990047e-10,   8.871737382e-05,                 1,                 1,                 1
          0,           0,          49,       -5.62746075,      -3.224304382,      -3.620286719,      -3.592692208,     -0.8870176345,       -2.89499853,      0.1617484425,   1.199035139e-10,   8.871740582e-05,                 1,                 1,                 1
          0,           0,          50,      -5.627526551,      -3.224065054,      -3.619317499,      -3.591049049,     -0.8906718355,      -2.894862663,       0.160983475,   1.199080208e-10,   8.871743779e-05,                 1,                 1,                 1
          0,           0,          51,      -5.627581987,      -3.224348517,      -3.619581888,      -3.591322357,     -0.8940335424,      -2.894726454,      0.1604792638,   1.199125256e-10,   8.871746975e-05,                 1,                 1,                 1
          0,           0,          52,      -5.627577817,      -3.224769389,      -3.620259725,      -3.592072203,     -0.8955716582,      -2.894589994,      0.1600965813,   1.199170283e-10,   8.871750168e-05,                 1,                 1,                 1
          0,           0,          53,      -5.627521762,      -3.225204354,       -3.62097328,      -3.592721111,     -0.8954680565,      -2.894453022,      0.1597185695,   1.199215289e-10,   8.871753359e-05,                 1,                 1,                 1
          0,           0,          54,       -5.62744967,      -3.225564005,       -3.62146576,      -3.593314401,     -0.8948277612,      -2.894315758,      0.1594323601,   1.199260274e-10,   8.871756549e-05,                 1,                 1,                 1
          0,           0,          55,       -5.62737072,      -3.226024702,      -3.622145411,      -3.594131919,      -0.893951745,      -2.894178364,      0.1591862229,   1.199305239e-10,   8.871759736e-05,                 1,                 1,                 1
          0,           0,          56,      -5.627300785,      -3.225609436,      -3.620674057,      -3.591583786,     -0.8933588191,      -2.894040786,      0.1589786028,   1.199350184e-10,   8.871762921e-05,                 1,                 1,                 1
          0,           0,          57,      -5.627262334,      -3.226030114,      -3.621324397,      -3.592352369,     -0.8937476772,      -2.893902971,      0.1586561429,    1.19939511e-10,   8.871766104e-05,                 1,                 1,                 1
          0,           0,          58,      -5.627213703,       -3.22643428,      -3.622031735,      -3.593104597,     -0.8938887118,      -2.893765029,      0.1583151076,   1.199440016e-10,   8.871769285e-05,                 1,                 1,                 1
          0,           0,          59,      -5.627173472,      -3.226851304,      -3.622797219,      -3.593903443,     -0.8943357161,      -2.893626828,      0.1580054593,   1.199484904e-10,   8.871772464e-05,                 1,                 1,                 1
          0,           0,          60,      -5.627147153,      -3.226253249,      -3.618502497,      -3.591682133,     -0.8952947512,      -2.893488525,      0.1577147002,   1.199529773e-10,   8.871775641e-05,                 1,                 1,                 1
